Server Six .com
| Domain                         | Domain Authority | Page Authority | Spam Score |
|--------------------------------|------------------|----------------|------------|
| 14grup.com                     | 1                | 1              | 0          |
| aclamongan.com                 | 2                | 6              | 1          |
| anaretrans.com                 | 1                | 1              | 0          |
| applesecondstuff.com           | 1                | 1              | 0          |
| bojonegoroku.com               | 1                | 1              | 0          |
| centralhidrolik.com            | 6                | 16             | 4          |
| emegaprakarsa.com              | 4                | 17             | 1          |
| hdcompsurabaya.com             | 1                | 8              | 24         |
| karuniapratamaelektrik.com     | 1                | 8              | 1          |
| kawanmandiribersama.com        | 1                | 1              | 0          |
| konfercab-iaisurabaya.com      | 1                | 1              | 0          |
| malikentertain.com             | 7                | 15             | 17         |
| mengantidrywash.com            | 1                | 8              | 35         |
| nas.applesecondstuff.com       | 1                | 1              | 0          |
| nunutjoe.com                   | 8                | 26             | 3          |
| okejatim.com                   | 11               | 12             | 3          |
| pantaukota.com                 | 1                | 8              | 5          |
| ptdararucisteelindo.com        | 1                | 5              | 2          |
| rakyatjelata.com               | 45               | 35             | 2          |
| riyanasa.com                   | 2                | 8              | 3          |
| service.applesecondstuff.com   | 1                | 1              | 0          |
| sugengndalukafe.com            | 1                | 8              | 13         |
| sukakarimun.com                | 1                | 8              | 10         |
| tashajatanjombang.com          | 1                | 5              | 0          |
| thelawaccident.com             | 1                | 3              | 2          |
| tubanlithium.com               | 1                | 12             | 51         |

Server Nine .com
| Domain                         | Domain Authority | Page Authority | Spam Score |
|--------------------------------|------------------|----------------|------------|
| 821network.com                 | 1                | 1              | 18         |
| agodagarmindo.com              | 1                | 8              | 15         |
| alatteknikindustri.com         | 9                | 23             | 4          |
| amertabahari.com               | 1                | 8              | 9          |
| aniskhoir.com                  | 52               | 45             | 4          |
| bakusamexpress.com             | 1                | 8              | 8          |
| bisnistuban.com                | 7                | 36             | 4          |
| cultureramaanimation.com       | 1                | 1              | 0          |
| dekreatif.com                  | 1                | 1              | 0          |
| dipix-systems.com              | 13               | 20             | 9          |
| esteedermamandiri.com          | 1                | 5              | 1          |
| golifeindonesia.com            | 15               | 26             | 2          |
| gpsproperti.com                | 1                | 1              | 0          |
